"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 23 22:43:10 MSK 2020","Mon Nov 23 22:43:11 MSK 2020","1033","test","test_add_group","","","","test_add_group[None:nameOWUf~#;headerz  !, pr8G H|.Xqpz;footerUcZCt tY]",""
"passed","Mon Nov 23 22:43:07 MSK 2020","Mon Nov 23 22:43:08 MSK 2020","1034","test","test_add_group","","","","test_add_group[None:nameGl}YR09 c;header  tX;footer ]]",""
"passed","Mon Nov 23 22:43:06 MSK 2020","Mon Nov 23 22:43:07 MSK 2020","1041","test","test_add_group","","","","test_add_group[None:nameiB;headerSsQAVx(vp;footerQ}B8p1w4=HR]",""
"passed","Mon Nov 23 22:43:05 MSK 2020","Mon Nov 23 22:43:06 MSK 2020","1187","test","test_add_group","","","","test_add_group[None:;;]",""
"passed","Mon Nov 23 22:43:08 MSK 2020","Mon Nov 23 22:43:09 MSK 2020","1010","test","test_add_group","","","","test_add_group[None:name lkK;headerglD;footerY60T]",""
"passed","Mon Nov 23 22:43:09 MSK 2020","Mon Nov 23 22:43:10 MSK 2020","1038","test","test_add_group","","","","test_add_group[None:namehJin9}Z:;header R n6s$zXC;footerA+rVq.O!(]",""
